,have_inv,intervallo
665,1,"(0.0, 200.0]"
666,1,"(0.0, 200.0]"
667,1,"(0.0, 200.0]"
668,1,"(40600.0, 40800.0]"
669,1,"(0.0, 200.0]"
670,1,"(40800.0, 41000.0]"
671,1,"(200.0, 400.0]"
672,1,"(1600.0, 1800.0]"
673,1,"(0.0, 200.0]"
674,1,"(6400.0, 6600.0]"
675,0,"(-200.0, 0.0]"
676,1,"(0.0, 200.0]"
677,0,"(0.0, 200.0]"
678,1,"(0.0, 200.0]"
679,1,"(-200.0, 0.0]"
680,1,"(0.0, 200.0]"
681,0,"(-200.0, 0.0]"
682,0,"(0.0, 200.0]"
683,1,"(40600.0, 40800.0]"
684,1,"(0.0, 200.0]"
685,1,"(40600.0, 40800.0]"
686,1,"(0.0, 200.0]"
687,1,"(0.0, 200.0]"
688,1,"(32400.0, 32600.0]"
689,1,"(15600.0, 15800.0]"
690,1,"(0.0, 200.0]"
691,1,"(1200.0, 1400.0]"
692,1,"(0.0, 200.0]"
693,1,"(200.0, 400.0]"
694,1,"(800.0, 1000.0]"
695,1,"(3600.0, 3800.0]"
696,1,"(40800.0, 41000.0]"
697,1,"(0.0, 200.0]"
698,1,"(0.0, 200.0]"
699,1,"(0.0, 200.0]"
700,0,"(-200.0, 0.0]"
701,1,"(400.0, 600.0]"
702,1,"(40200.0, 40400.0]"
703,0,"(0.0, 200.0]"
704,1,"(40800.0, 41000.0]"
705,0,"(-200.0, 0.0]"
706,1,"(40600.0, 40800.0]"
707,1,"(200.0, 400.0]"
708,1,"(400.0, 600.0]"
709,1,"(-200.0, 0.0]"
710,1,"(40600.0, 40800.0]"
711,1,"(0.0, 200.0]"
712,1,"(0.0, 200.0]"
713,1,"(0.0, 200.0]"
714,1,"(12400.0, 12600.0]"
715,1,"(-200.0, 0.0]"
716,1,"(6400.0, 6600.0]"
717,1,"(0.0, 200.0]"
718,1,"(0.0, 200.0]"
719,1,"(0.0, 200.0]"
720,0,"(10200.0, 10400.0]"
721,1,"(40800.0, 41000.0]"
722,1,"(0.0, 200.0]"
723,1,"(0.0, 200.0]"
724,1,"(0.0, 200.0]"
725,1,"(0.0, 200.0]"
726,1,"(0.0, 200.0]"
727,1,"(9000.0, 9200.0]"
728,1,"(35800.0, 36000.0]"
729,1,"(0.0, 200.0]"
730,1,"(0.0, 200.0]"
731,1,"(0.0, 200.0]"
732,1,"(0.0, 200.0]"
733,0,"(-200.0, 0.0]"
734,1,"(9600.0, 9800.0]"
735,1,"(200.0, 400.0]"
736,1,"(1200.0, 1400.0]"
737,1,"(2200.0, 2400.0]"
738,1,"(3000.0, 3200.0]"
739,1,"(200.0, 400.0]"
740,1,"(0.0, 200.0]"
741,1,"(400.0, 600.0]"
742,1,"(0.0, 200.0]"
743,1,"(0.0, 200.0]"
744,1,"(0.0, 200.0]"
745,1,"(-200.0, 0.0]"
746,1,"(600.0, 800.0]"
747,1,"(800.0, 1000.0]"
748,1,"(0.0, 200.0]"
749,1,"(-200.0, 0.0]"
750,1,"(-200.0, 0.0]"
751,1,"(0.0, 200.0]"
752,1,"(0.0, 200.0]"
753,1,"(200.0, 400.0]"
754,1,"(28200.0, 28400.0]"
755,1,"(0.0, 200.0]"
756,1,"(40400.0, 40600.0]"
757,0,"(0.0, 200.0]"
758,1,"(17000.0, 17200.0]"
759,1,"(40600.0, 40800.0]"
760,0,"(-200.0, 0.0]"
761,1,"(0.0, 200.0]"
762,1,"(9000.0, 9200.0]"
763,1,"(0.0, 200.0]"
764,1,"(3400.0, 3600.0]"
765,1,"(-200.0, 0.0]"
766,1,"(16600.0, 16800.0]"
767,0,"(3800.0, 4000.0]"
768,1,"(0.0, 200.0]"
769,1,"(0.0, 200.0]"
770,1,"(0.0, 200.0]"
771,1,"(40400.0, 40600.0]"
772,1,"(0.0, 200.0]"
773,1,"(0.0, 200.0]"
774,1,"(-200.0, 0.0]"
775,1,"(0.0, 200.0]"
776,1,"(0.0, 200.0]"
777,1,"(0.0, 200.0]"
778,1,"(0.0, 200.0]"
779,1,"(0.0, 200.0]"
780,1,"(800.0, 1000.0]"
781,1,"(0.0, 200.0]"
782,1,"(0.0, 200.0]"
783,0,"(-200.0, 0.0]"
784,1,"(-200.0, 0.0]"
785,1,"(0.0, 200.0]"
786,1,"(0.0, 200.0]"
787,1,"(0.0, 200.0]"
788,1,"(40800.0, 41000.0]"
789,1,"(-200.0, 0.0]"
790,1,"(6400.0, 6600.0]"
791,0,"(-200.0, 0.0]"
792,1,"(0.0, 200.0]"
793,1,"(40400.0, 40600.0]"
794,1,"(40400.0, 40600.0]"
